Layer thickness,Nozzle temp,Bed temp,Print speed,Material type,Model complexity,Print time,Printer type,Humidity,Cooling method,Defective
0.13,193,68,98,ABS,Medium,3.8,SLA,68,Active cooling,1
0.13,215,106,47,Nylon,Medium,4.2,FDM,44,Passive,0
0.36,227,79,39,ABS,Medium,5.0,FDM,39,Fan,0
0.39,228,75,78,ABS,Medium,6.3,SLA,46,Active cooling,0
0.36,211,56,36,PETG,Low,7.8,SLS,30,Passive,0
0.35,253,104,34,Nylon,Medium,4.8,SLS,68,Passive,1
0.14,243,105,86,Nylon,High,4.1,FDM,58,Passive,1
0.28,232,107,54,ABS,Low,4.0,SLA,31,Active cooling,0
0.2,202,65,45,Nylon,High,3.7,SLS,33,Passive,0
0.15,216,67,94,PETG,Low,8.0,FDM,27,Passive,1
0.34,199,83,77,PLA,High,8.4,FDM,68,Passive,1
0.12,220,51,86,Nylon,Medium,5.9,SLA,33,Passive,1
0.35,224,66,35,Nylon,Medium,2.9,SLA,35,Active cooling,0
0.31,206,81,35,PLA,Low,6.2,SLA,40,Passive,0
0.33,209,73,70,ABS,Medium,5.5,SLA,40,Active cooling,0
0.12,240,68,87,Nylon,High,4.7,FDM,46,Fan,1
0.14,228,86,78,PETG,High,0.8,SLA,55,Active cooling,1
0.32,251,65,57,PLA,Medium,3.0,SLS,59,Fan,1
0.34,200,94,85,Nylon,Medium,9.8,SLS,51,Fan,1
0.15,249,86,64,PLA,Medium,1.9,FDM,58,Active cooling,0
0.14,191,77,31,PLA,Medium,4.2,SLA,59,Fan,0
0.12,224,98,40,ABS,Low,8.6,SLA,68,Passive,1
0.29,217,61,47,ABS,High,2.5,SLA,67,Active cooling,1
0.16,226,52,57,PETG,High,1.6,FDM,67,Fan,1
0.23,226,66,100,ABS,Low,7.6,SLA,32,Fan,1
0.17,201,94,70,ABS,Low,1.4,SLS,30,Active cooling,0
0.35,235,96,39,Nylon,Low,9.4,SLS,47,Active cooling,0
0.34,247,100,41,Nylon,Medium,1.1,FDM,58,Fan,0
0.12,247,75,76,ABS,Low,3.6,FDM,57,Fan,1
0.18,240,78,85,Nylon,Medium,3.3,FDM,24,Active cooling,1
0.15,190,64,72,ABS,Medium,3.6,FDM,39,Active cooling,0
0.17,225,84,55,Nylon,Low,1.6,FDM,56,Active cooling,0
0.16,252,60,79,Nylon,Medium,5.9,SLA,39,Passive,1
0.33,219,65,88,PLA,High,3.1,FDM,69,Fan,1
0.3,229,72,85,PETG,Low,6.8,SLS,36,Fan,1
0.22,211,107,34,ABS,Medium,3.8,SLA,42,Passive,0
0.18,201,57,36,Nylon,Low,4.2,SLA,23,Active cooling,0
0.24,209,109,70,Nylon,Low,8.3,SLS,63,Fan,0
0.28,199,78,35,PLA,Medium,3.2,SLA,64,Passive,0
0.31,260,99,71,PETG,High,7.2,SLS,64,Active cooling,1
0.11,210,80,95,ABS,Medium,1.3,SLA,63,Fan,1
0.24,251,86,98,PETG,Medium,4.2,FDM,67,Active cooling,1
0.24,198,67,73,PETG,Medium,4.4,FDM,39,Passive,0
0.2,228,72,33,ABS,Medium,9.7,SLS,24,Fan,0
0.26,196,88,86,ABS,High,1.3,SLS,68,Active cooling,1
0.33,233,85,97,PETG,High,8.9,SLA,41,Fan,1
0.37,209,72,98,PETG,Medium,8.9,SLS,31,Passive,1
0.36,242,79,77,Nylon,High,5.4,FDM,42,Fan,0
0.35,208,79,64,ABS,High,7.0,SLS,28,Passive,0
0.12,238,62,68,ABS,High,9.9,SLA,32,Active cooling,0
0.3,215,105,97,PLA,High,2.8,FDM,67,Active cooling,1
0.2,206,67,83,ABS,Low,2.1,SLA,53,Passive,1
0.34,245,71,68,Nylon,Low,7.9,SLS,30,Passive,0
0.35,199,83,96,Nylon,Low,3.6,SLS,52,Fan,1
0.14,226,64,97,PLA,Medium,3.5,FDM,54,Passive,1
0.24,242,110,79,ABS,Low,2.1,FDM,22,Fan,0
0.22,239,82,91,Nylon,High,8.9,SLS,64,Passive,1
0.18,250,102,45,PLA,High,9.3,SLS,39,Passive,0
0.21,245,78,71,PETG,Medium,9.3,FDM,62,Fan,0
0.33,220,71,91,PETG,Medium,1.9,FDM,57,Passive,1
0.17,218,78,41,PETG,Low,1.0,FDM,61,Fan,0
0.31,211,53,88,Nylon,Low,3.7,SLS,65,Passive,1
0.26,241,88,36,Nylon,Low,2.8,SLA,68,Active cooling,0
0.3,203,79,76,Nylon,Medium,8.7,FDM,69,Passive,0
0.37,218,59,59,PLA,High,1.4,SLS,55,Fan,1
0.1,207,65,32,Nylon,Low,5.9,FDM,27,Active cooling,0
0.16,252,59,39,ABS,Low,1.2,SLA,25,Fan,1
0.15,202,58,86,ABS,High,1.2,SLS,50,Active cooling,1
0.12,232,106,72,Nylon,Low,0.6,SLA,58,Active cooling,0
0.18,237,92,66,PETG,Low,1.7,SLA,29,Active cooling,0
0.38,193,53,83,ABS,Low,6.4,SLS,51,Fan,1
0.34,225,71,61,Nylon,Low,9.4,FDM,31,Active cooling,0
0.29,192,90,56,ABS,Low,1.9,SLA,39,Active cooling,0
0.38,246,102,60,PLA,Low,4.2,SLA,44,Active cooling,0
0.25,258,103,65,PLA,Medium,2.6,SLA,38,Fan,1
0.32,242,61,47,PLA,Low,2.9,SLA,55,Fan,0
0.11,248,101,88,PETG,Low,4.5,FDM,35,Passive,1
0.4,225,81,32,PLA,Low,4.0,SLA,69,Active cooling,0
0.24,206,75,81,ABS,High,4.1,FDM,46,Fan,1
0.24,234,102,64,PLA,Low,8.1,SLS,20,Passive,0
0.35,224,72,30,Nylon,High,5.8,SLS,40,Fan,0
0.31,232,62,100,ABS,Low,9.8,FDM,69,Fan,1
0.24,247,90,95,PETG,High,3.9,SLA,54,Fan,1
0.29,203,73,35,ABS,Low,4.4,SLA,49,Passive,0
0.23,215,79,39,PLA,High,9.0,SLS,27,Active cooling,0
0.32,247,69,54,PETG,High,7.5,SLS,25,Passive,0
0.38,210,57,81,ABS,Medium,1.5,FDM,54,Passive,1
0.24,243,59,44,PLA,Medium,0.9,SLS,34,Fan,0
0.14,207,75,73,PLA,Medium,1.6,FDM,66,Passive,0
0.22,260,93,72,ABS,Low,3.2,SLA,42,Active cooling,1
0.28,226,81,64,PETG,High,8.0,SLS,64,Fan,1
0.2,208,109,84,ABS,High,8.8,SLA,53,Active cooling,1
0.35,218,55,91,Nylon,Low,1.0,SLS,36,Passive,1
0.2,198,72,77,PLA,High,7.8,SLA,20,Fan,0
0.16,209,90,66,PETG,Medium,4.7,SLA,50,Active cooling,0
0.37,219,61,99,ABS,High,4.5,SLA,46,Passive,1
0.35,254,79,67,PLA,Medium,6.3,SLS,56,Passive,1
0.3,206,64,82,PETG,High,9.7,SLS,63,Passive,1
0.12,250,58,65,ABS,Low,8.4,SLS,62,Fan,1
0.26,199,58,75,Nylon,High,5.2,FDM,58,Fan,1
0.16,200,74,61,PLA,Medium,6.4,SLA,49,Fan,0
0.11,238,52,52,PETG,Medium,5.8,FDM,25,Passive,0
0.12,199,84,84,PLA,Medium,9.6,FDM,42,Passive,1
0.28,215,88,68,ABS,Medium,7.1,FDM,47,Passive,0
0.31,223,56,97,PETG,High,6.3,SLA,40,Passive,1
0.18,237,58,100,ABS,Low,3.1,SLS,70,Active cooling,1
0.36,227,99,78,PLA,Medium,1.1,SLA,61,Fan,0
0.34,195,94,86,ABS,High,5.9,SLS,68,Passive,1
0.28,233,81,44,ABS,Medium,4.8,SLA,65,Passive,1
0.39,235,85,45,ABS,High,5.7,SLA,37,Fan,0
0.23,202,69,70,Nylon,Low,4.8,SLS,37,Active cooling,0
0.24,239,68,51,PETG,Medium,8.1,FDM,30,Fan,0
0.12,213,91,90,ABS,Low,3.3,FDM,44,Fan,1
0.19,241,62,49,PLA,High,6.3,FDM,33,Passive,0
0.33,217,71,93,PETG,High,8.8,SLS,21,Passive,1
0.38,217,64,92,PLA,High,7.5,FDM,21,Fan,1
0.24,231,51,72,PETG,Low,4.6,SLS,31,Fan,0
0.15,247,95,61,PLA,Medium,10.0,SLS,59,Fan,0
0.1,231,65,30,Nylon,High,2.0,FDM,56,Passive,1
0.29,200,97,90,ABS,Low,9.6,SLA,59,Active cooling,1
0.23,206,85,58,PLA,Low,4.7,SLS,42,Active cooling,0
0.25,205,97,79,PLA,Low,3.0,FDM,63,Passive,0
0.34,218,94,69,PETG,Medium,3.8,FDM,51,Fan,0
0.17,211,54,100,Nylon,Medium,1.7,FDM,49,Active cooling,1
0.38,194,90,89,Nylon,High,7.8,SLS,65,Active cooling,1
0.34,235,84,47,PETG,High,4.6,FDM,21,Passive,0
0.3,259,94,95,ABS,Low,4.4,FDM,51,Fan,1
0.37,221,97,96,PETG,Medium,5.1,FDM,58,Fan,1
0.2,207,85,33,ABS,Medium,1.8,SLA,50,Active cooling,0
0.16,236,106,88,PLA,Medium,4.8,SLA,41,Fan,1
0.22,206,94,83,PLA,Low,5.4,FDM,44,Passive,1
0.32,249,94,82,Nylon,Low,8.0,SLS,46,Passive,1
0.37,199,98,63,Nylon,Low,5.9,FDM,28,Fan,0
0.29,255,81,84,PETG,Medium,2.5,SLS,27,Fan,1
0.21,251,83,69,PETG,Low,4.1,SLA,41,Passive,1
0.14,205,110,43,PETG,High,7.3,SLA,52,Active cooling,1
0.29,242,51,81,Nylon,Medium,6.6,FDM,20,Fan,1
0.32,210,104,98,PETG,Medium,1.9,SLS,26,Active cooling,1
0.36,231,74,65,PLA,Medium,9.3,SLA,69,Fan,0
0.36,236,84,50,Nylon,High,4.8,SLA,22,Active cooling,0
0.15,235,83,82,Nylon,High,0.5,SLA,59,Fan,1
0.36,224,79,75,PETG,Medium,2.8,SLS,27,Passive,0
0.36,219,56,41,Nylon,Medium,3.9,SLS,37,Fan,0
0.39,227,90,85,PLA,Low,3.6,SLA,69,Fan,1
0.21,224,60,89,Nylon,Medium,2.7,FDM,70,Active cooling,1
0.21,210,82,94,PLA,Low,7.6,SLA,22,Fan,1
0.21,216,83,74,ABS,High,0.5,SLS,36,Fan,0
0.2,196,85,36,PETG,Medium,4.7,FDM,45,Fan,0
0.28,245,57,88,Nylon,Low,1.0,FDM,40,Passive,1
0.22,248,65,73,Nylon,Medium,2.8,SLS,36,Fan,0
0.33,212,63,60,PLA,Low,6.2,FDM,45,Passive,0
0.13,217,68,78,ABS,Medium,8.5,FDM,45,Passive,0
0.12,234,89,57,ABS,Low,1.6,FDM,52,Active cooling,0
0.16,205,72,72,ABS,Medium,1.1,FDM,21,Fan,0
0.12,242,89,57,ABS,High,1.2,SLA,55,Fan,1
0.28,228,73,96,PETG,Medium,2.0,SLS,64,Fan,1
0.21,198,84,72,PLA,Medium,6.8,FDM,49,Fan,0
0.11,211,68,64,PLA,Low,7.7,FDM,27,Passive,0
0.2,199,50,76,Nylon,Medium,8.9,SLA,67,Active cooling,0
0.39,197,109,65,ABS,High,6.8,FDM,30,Fan,0
0.12,249,98,36,PLA,Medium,9.8,SLS,38,Fan,0
0.37,235,98,39,Nylon,Low,6.8,SLS,67,Passive,0
0.33,229,50,53,PLA,Low,3.7,SLS,44,Active cooling,0
0.25,206,84,84,Nylon,Low,7.3,SLA,54,Fan,1
0.3,249,96,63,Nylon,Medium,7.3,FDM,67,Passive,0
0.11,192,89,53,Nylon,Low,2.9,FDM,61,Active cooling,0
0.15,230,97,33,ABS,Low,5.3,SLS,64,Fan,1
0.24,220,88,85,PLA,Medium,9.3,SLA,64,Fan,1
0.19,205,73,69,PETG,High,5.9,SLS,41,Passive,0
0.11,255,78,61,Nylon,High,3.0,SLA,49,Active cooling,1
0.24,239,100,87,PETG,Medium,2.5,SLA,31,Active cooling,1
0.3,242,99,85,Nylon,Low,6.2,FDM,24,Active cooling,1
0.13,210,106,92,ABS,Medium,8.2,SLS,58,Passive,1
0.16,237,78,74,ABS,High,1.9,SLA,60,Active cooling,1
0.36,231,109,49,ABS,Medium,3.1,FDM,59,Active cooling,1
0.15,257,103,78,PETG,High,2.6,FDM,29,Active cooling,1
0.36,219,94,73,PETG,Low,7.7,FDM,39,Passive,0
0.2,249,98,45,PETG,High,0.9,SLA,67,Fan,1
0.3,218,54,31,PETG,Medium,8.9,SLS,51,Active cooling,0
